Name,Ownership,Category,Year of Establishment
"Ipetu- Ijesha College of Technology Ipetu - Ijesha, Osun State",Private,Innovation Enterprise,2013
"Izisco Obos Institute of Marine Studies & Technology, warri, Delta State",Private,Innovation Enterprise,2010
"Kaduna Business School, 17 Gobarau Road u/Rimi, Kaduna",Private,Innovation Enterprise,2015
"Katsina State Institute of Technology and Management Katsina, Kastina State",Private,Innovation Enterprise,2018
"Kings and Queens Beauty Institute No. 57 Abidjan Street, Wuse Zone 3 Abuja, FCT",Private,Innovation Enterprise,2008
Kunoch Education and Training College Owerri,Private,Innovation Enterprise,2008
"Ladela Educational Institute (Dreamsville Ltd.)Plot 32, Port Harcourt Crescent, Garki, Abuja, FCT",Private,Innovation Enterprise,2012
"Lagos Aviation and Maritime Business (LAMB) Academy, Iyana-Paja, Lagos",Private,Innovation Enterprise,2008
"Lagos City Computer College, 7 Bashiru Oweh Street, P.M.B 21200, Ikeja, Lagos State",Private,Innovation Enterprise,2008
"Laser Petroleum Geosciences Centre, Port Harcourt, P.O, box 123, Uniport Post Office, Choba, Port Harcourt. Km 5 East West Road, Off IMCO PetrolStation Rumuogara, Port Harcourt, Rivers State",Private,Innovation Enterprise,2008
"Laurel School of Mines Ogudu, Lagos",Private,Innovation Enterprise,2019
"Lens School of Management and Technology, Offa, Kwara State",Private,Innovation Enterprise,2013
"Lincoln College of Science, Management and technology FCT, Abuja",Private,Innovation Enterprise,2020
"Linet Paul Innovative Institute No 1Sunmail Drive Off Isaac Boro Expressway, Etegwe-Yenagoa, Bayelsa State",Private,Innovation Enterprise,2010
"Living Spring College of Innovation Technology, oshogbo, Osun State",Private,Innovation Enterprise,2012
Lufodo Academy of Performing Arts Ikoyi22 Bourdillon Road Ikoyi-Lagoslufodoproductions@yahoo.comlufodo@yahoo.com,Private,Innovation Enterprise,2010
"Magic Brush Film School 12, Owu Street Behind Barnax Building, Waterlines Junction, Aba Road, Port Harcourt, Rivers State",Private,Innovation Enterprise,2017
"Mario Institute of Hospitality Management and Entreprenuership EducationUhunowerre, Igbo- Eze South LGA Nsukka, Enugu State",Private,Innovation Enterprise,2017
"Marvel Institute of Management & Technology, Kuchikau, Nasarawa State",Private,Innovation Enterprise,2013
"Mastermind Catering and Culinary Institute, Plot 83, david lot/ M close, off 1st Avenue, FHA, Gwarimpa, Abuja",Private,Innovation Enterprise,2021
"Maurid Institute of Management and Technology Oron, Akwa Ibom State",Private,Innovation Enterprise,2016
"Maurid Institute of Management and Technology Mbiaso, Akwa Ibom State",Private,Innovation Enterprise,1017
Mbara Ozioma College of Technology Ehime - MbanoImo State,Private,Innovation Enterprise,2016
"Metrocity College of Technology, No 31 Dorcas Moralahun Street, Oko-Oba, Agege, Lagos",Private,Innovation Enterprise,2022
"Merchant Seaman Academy, Ikot Adautor Essien, Udim L.G.A Akwa Ibom State",Private,Innovation Enterprise,2016
"Minna Institute of Technology and Innovation, Kpakungu Road, Minna, Niger State",Private,Innovation Enterprise,2016
"My Project Institute of Security and Strategic Studies, Zuba, Abuja, FCT",Private,Innovation Enterprise,2013
"NAOWA Institute of Management and Technology, Asokoro, Abuja",Private,Innovation Enterprise,2021
"Nation Builders College of Technology Asaba, Delta State",Private,Innovation Enterprise,2010
"National Centre for Women Development(NCWD),  Tafawa Balewa Street Central Business District, Abuja",Private,Innovation Enterprise,2011
"National Film Institute, Jos, Plateau State",Private,Innovation Enterprise,2022
"Nigeria College of Natural Science Medicine Technology, No 9, Kofo Abayomi Street, Victoria Island, Lagos State",Private,Innovation Enterprise,2021
"Nigerian Institute of Transport Technology Basawa Road Zaria, Kaduna Street",Private,Innovation Enterprise,2018
"Nigeria–Korea Friendship Institute of Vocational and Advanced Technology, Lokoja, Kogi State",Private,Innovation Enterprise,2017
"Nigerian Television Authority (NTA), Television College, Old Government House Close, Ray field, Jos, Plateau State",Private,Innovation Enterprise,2008
"NIIT Education and Training Centre. Or NIIT/IDM Building, 9 Oba Akran Avenue, Ikeja Lagos",Private,Innovation Enterprise,2008
"NIIT Ajah Centre,Km 11, Lekki-Epe Express Way, FirstGate - Ikota(By Great Brands)",Private,Innovation Enterprise,2008
"NIIT Benin Centre, 11 Adesuwa Grammar School, GRA, Benin City, Edo State",Private,Innovation Enterprise,2008
"NIIT Festac Centre, Lagos",Private,Innovation Enterprise,2008
"NIIT Garki Centre, 4, Dambata Close, Off Yola Street, Area 7, Garki, Abuja",Private,Innovation Enterprise,2008
"NIIT Gbagada Centre, 141C, Gbadaga-Oshodi express Road (Opposite Hotel New Castel), Lagos State",Private,Innovation Enterprise,2008
"NIIT Ikorodu Centre, 14, Olorunojowon Street, (Besides Zenith Bank), Lagos State",Private,Innovation Enterprise,2008
"NIIT Offa Centre, 2nd Floor, Olatinwo House, Olofa Way, Offa, Kwara State.",Private,Innovation Enterprise,2008
"NIIT Ota Centre, Tantoloroun House, KM 1, Idi-iroko Road, Ota Round-About, Ota, Ogun State",Private,Innovation Enterprise,2008
"NIIT Port - Harcourt CentreNIIT Place,  Kaduna Street, D-Line, Port Harcourt",Private,Innovation Enterprise,2008
"NIIT Surulere Centre, Lagos",Private,Innovation Enterprise,2002
"NIIT Uyo Centre, 30, Udosen Uko Street, Off Oron Road, Uyo, Akwa Ibom State",Private,Innovation Enterprise,2008
"NIIT Warri Centre, 43, Airport Road, Effurun, Warri, Delta State",Private,Innovation Enterprise,2008
"Northbridge Entrepreneurial Management School, No 13, Batayya House, Zaria Road, Kano State",Private,Innovation Enterprise,2022
"Nspire School of Management and Technology Limited, Oyo House, Central Business District",Private,Innovation Enterprise,2014
"OfferCentre Institute of Agriculture Olupona, Iwo, Osun State",Private,Innovation Enterprise,2015
"Olawoyin Awosika School of Innovation Studies (OASIS), Isheri North LGA, Lagos",Private,Innovation Enterprise,2013
"Oluaka Institute of Technology Obinze, Owerri",Private,Innovation Enterprise,2019
"ONIT Institute of TechnologyP.O.Box 677 Abagana, Njikoka L.G.A Anambra State",Private,Innovation Enterprise,2010
"Oseni Elamah ICT Institute No. 39 Polytechnic Road, Auchi",Private,Innovation Enterprise,2009
"Owu College of Management Technology Itele-Ota, Ogun State",Private,Innovation Enterprise,2013
"Pan-African Institute of Paralegal Studies Gwarimpa, Abuja",Private,Innovation Enterprise,2012
"Peace Institute of Management Technology Abak, Akwa Ibom State",Private,Innovation Enterprise,2018
"Peugeot Automobile Nigeria (PAN) Learning Centre PAN Drive Kakuri Kaduna, Kaduna State",Private,Innovation Enterprise,2021
"Pencil Film and Television Institute (PEFTI), 26/28 Oshodi-Apapa Expressway. CharityBus Stop, Oshodi, Lagos State",Private,Innovation Enterprise,2008
"Prime Innovation Institute of Technology, Ajah, Lagos",Private,Innovation Enterprise,2012
"Raindrop College of Management and Technology, amannachi, Enenator, Orsu L.G.A, Imo State",Private,Innovation Enterprise,2022
"Risk Control AcademyE 394 Ikota Shopping Complex, Lekki-Epe Expressway, Lagos",Private,Innovation Enterprise,2010
"Rocana Institute of Technology, Enugu",Private,Innovation Enterprise,2012
"Rolof Computer AcademyPlot 110, Apala Street, Off Okumagba Avenue, warri, Delta State",Private,Innovation Enterprise,2017
"Royal Arts Academy, Surulere, Lagos State",Private,Innovation Enterprise,2015
"Sagamu Business and Arts Institute Sagamu, Ogun State",Private,Innovation Enterprise,2016
"School of Banking Honours, 74, Isheri Road (All Season Place), Beside Federal Road Safety Corp, Ojodu, P.O Box 11314, Ikeja Lagos",Private,Innovation Enterprise,2007
"Sentona Institute of Management and Technology, New Nyanaya, Karu LGA, Abuja",Private,Innovation Enterprise,2014
"Smart Image Film and Theatre Institute, Ibadan, Oyo State",Private,Innovation Enterprise,2015
"Softquest Incorporated College, Ogbomoso, Oyo State",Private,Innovation Enterprise,2021
"Soteria Business SchoolBola Ige Junction, liberty Road, Oke Ado, Ibadan Oyo State",Private,Innovation Enterprise,2018
"Southern Eastern College for Computer Engineering and Information Technology, Owerri, Imo State",Private,Innovation Enterprise,2011
"Southern Nigerian Institute of Innovation Technology, Ifewara, Ile Ife, Osun state",Private,Innovation Enterprise,2012
"Stars Maritime Academy, Itele, Ayobo-Ota Road  Lafenwa Ogun State, P.O.Box  176 Ikotun Post Office, Ikotun ",Private,Innovation Enterprise,2010
"St. Augustine Innovation Enterprise Institution, Allen Avenue, Ikeja, Lagos",Private,Innovation Enterprise,2011
"St Rita Innovative Institute C8/C9 Niger Bridge Layout, Housing estate Fegge, P.O Box 2312, Onitsha",Private,Innovation Enterprise,2010
"St. Winifred Innovative Institute, Human Resources Development Centre, Sango Dina Village Off Oloni-Olunde Ayegun Road, P.O Box 16744, Ibadan, Oyo State",Private,Innovation Enterprise,2008
"Tashiba  Institute of Information TechnologyGyallesu, Zaria, Kaduna State",Private,Innovation Enterprise,2017
"The Broadcast Arts Institute, 38, Odofin Street, igbogbo, Ikorodun Lagos State",Private,Innovation Enterprise,2022
"Timeon Kairos Educational and Vocational Institute, Akowanjo, Abeokuta Express Way, Agege, Lagos",Private,Innovation Enterprise,2006
"Tower Innovative College, Liberty Road, Box 13039, G.P.O. Dugbe, Ibadan, Oyo State",Private,Innovation Enterprise,2009
Trizas Institute for Innovation Education13/15 Udoye Street Trans-Ekulu Enugutrizassinstitute@yahoo.com,Private,Innovation Enterprise,2010
"UA College of Science and Technology, Isuofia Anambra State",Private,Innovation Enterprise,2014
"Umuebe Farm College Abakaliki, Ebonyi State",Private,Innovation Enterprise,2010
"United Cement Community Development Initiative Training InstituteMfamosing, Cross River State",Private,Innovation Enterprise,2015
"Unival Institute of Technology, Benin City",Private,Innovation Enterprise,2015
"Uptonville Oil and Gas Institute, Port Harcourt, 129/133 Woji Road, GRA Phase II, Port -Harcourt, Rivers State",Private,Innovation Enterprise,2008
"Yahaya Hamza Institute of Advanced Studies, Kaduna Ahmadu Bello Way, Nagwamatse House, Bank of the North Building 1st Floor, Kaduna State",Private,Innovation Enterprise,2008
"Yefmadec Institute of Science and Technology, Mosogar, Delta State",Private,Innovation Enterprise,2015
"Yenagoa Enterprise School, Yenagoa",Private,Innovation Enterprise,2015
"Zibeh Institute of Technology, Jos, Plateau State",Private,Innovation Enterprise,2022
"Al-Maárif College of Health Sciences & Technology Potiskum, Yobe State",Private,College of Health,2017
"Aminu Dabo College of Health Sciences & TechnologyNo 9C Civic Center Road, Kano State",Private,College of Health,2022
"Babalola Academy College of Health Technology, Egbejila Road behind Solid Worth Hotel Asa-Dam Area Ilorin Kwara State",Private,College of Health,2022
Bartholomew College of Health Technology ShaoMoro Local GovernmentKwara Statebartholomewschoolofhealth@gmail.com0803191550008089761497,Private,College of Health,2018
"Centinery College of Health Technology, Emohua, Port Harcourt",Private,College of Health,2022
College of Health and TechnologyIle-IfeOsun State,Private,College of Health,2020
"Dagamas College of Health Science and Technology, Sabon Gari Zaria, Kaduna State",Private,College of Health,2022
De-Potter College of Health Technology OruIjebu-Igbo RoadOgun State,Private,College of Health,2023
"Emirates College of Health Science and TechnologyKano, Kano State",Private,College of Health,2017
"Ezzangbo College of Health Technology, Ebonyi State",Private,College of Health,2022
"Ezeala College of Nursing Science, Umuseke Njaba LGA, Imo State",Private,College of Health,2022
"Eucaristic Heart College of Health TechnologyOrba, Nsukka Enugu State",Private,College of Health,2022
"Fabotas College of Health Science and Technology, Ado-Ekitit, Ekiti State",Private,College of Health,2022
"Malikiya College of Health and Social Sciences9, Gombe Road, Off Sokoto Road, Old GRA Bauchi, Bauchi State",Private,College of Health,2020
"Millenium College of Health Technology, Akure, Ondo State",Private,College of Health,2019
"Nazareth Institute of Health Science & Technology, Makurdi",Private,College of Health,2021
"New Gate College of Health Science & Technology, Minna, Niger State",Private,College of Health,2016
"NKST College of Health Technology, Mkar, Gboko, Benue State",Private,College of Health,1960
"Ondo College of Health Science and Technology, Ondo, Ondo State",Private,College of Health,2022
"Peaceland College of Health Sciences and Technology, Enugu, Enugu State",Private,College of Health,2022
"Pogil College Of Health Technology, Opposite Mechanic Village Gate, Ijebu-Ode/Ibadan Road, Oke-Eri, via Ijebu-Ode, Ogun State",Private,College of Health,2014
"Abia State College of Health Technology, P.M.B 7016, Aba",State Government,College of Health,1976
"ABUTH School of Health Records Administration & Biostatistics, Zaria, kaduna state",State Government,College of Health,1968
"Aliko Dangote College of Nursing Science Bauchi, Bauchi State ",State Government,College of Health,2013
"Anambra State College Of Health Technology, P.M.B 1001, Obosi",State Government,College of Health,2001
"Bayelsa State College of Health Technology, Otuogidi, Bayelsa State",State Government,College of Health,2005
"Bill and Melinda Gates College of Health Technology, Ningi, Bauchi state",State Government,College of Health,1977
"College of Health Technology, Zawan, Plateau State",State Government,College of Health,1977
"College of Nursing and Midwifery, Gombe, Gombe State",State Government,College of Health,2004
"College of Health Science and Technology, Idah, Kogi state",State Government,College of Health,1976
"Cross Rivers State College of Health Technology, Calabar",State Government,College of Health,1977
"Cross River State College of Nursing & Midwifery Sciences, Itigidi",State Government,College of Health,2020
"Delta State School of Health Technology, P.M.B 22, ofuoma, ughelli",State Government,College of Health,1993
"Ekiti State College of Health Sciences & Technology, Ijro-Ekiti",State Government,College of Health,2010
"Federal College of Orthopaedic Technology, NOH,  Igbobi, Lagos",Federal Government,College of Health,1996
"Federal School of Dental Technology & Therapy, P.M.B 01473 Enugu, Enugu state",Federal Government,College of Health,1982
"Federal School of Biomedical Engineering Technology, LUTH, Lagos",Federal Government,College of Health,2003
"Gombe State College of Health Technology, Kaltungo, Gombe State",State Government,College of Health,1977
"Imo State College Of Nursing & Health Sciences, P.M.B 2, Amaigbo, Nwangele LGA",State Government,College of Health,2013
"Institute of Health Technology,  University Teaching Hospital, Benin, P.M.B. 1111, Benin City, Edo State",Federal Government,College of Health,2004
"Kano State College of Health Sciences and Technology, BUK Road, kano",State Government,College of Health,1932
"Katsina State College of Health Sciences & Technology, Kankia",State Government,College of Health,2014
"Kebbi State College of Nursing Sciencies, Birnin Kebbi",State Government,College of Health,2002
"Kwara State College of Health Technology, PMB 430, Ojoku Road Offa, Kwara State",State Government,College of Health,1976
"Lagos State College of Health Technology, Yaba",State Government,College of Health,1920
"Lagos State College of Nursing and Midwifery, Igando",State Government,College of Health,2018
"Nasarawa State College of Health Science & Technology, Keffi",State Government,College of Health,1999
"Nigerian Army College of Nursing,Myhoung Barracks, Yaba, Lagos",Federal Government,College of Health,2018
"Nigerian Airforce College of Nursing Sciences Kaduna, Kaduna State",Federal Government,College of Health,2021
"Nigerian Army School of Medical Sciences, Ojo - Lagos State",Federal Government,College of Health,1977
Nigerian Navy College of Health Sciences Offa,Federal Government,College of Health,1994
"Ogun State College of Health Technology, Ijebu, Ilese, P.M.B 2081, Ijebu-Ode",State Government,College of Health,1976
"Osun State College of Health Technology, Ilesa",State Government,College of Health,1977
"Oyo State College of Health Sciences and Technology, Eleyele, Ibadan",State Government,College of Health,1933
"Oyo State College of Nursing and Midwifery, Eleyele, Ibadan",State Government,College of Health,1949
"Rivers State College of Health Technology, Port Harcourt",State Government,College of Health,2001
"School of Biomedical Engineering Technology, ABUTH, Shika-Zaria, Kaduna State",Federal Government,College of Health,1983
"School Of Biomedical Engineering, University of Benin Teaching Hospital, Benin, P.M.B 1111, Benin City, Edo State",Federal Government,College of Health,2004
"School Of Biomedical Engineering, University of Maiduguri Teaching Hospital, P.M.B 1414, Bama Road, Maiduguri, Borno State",Federal Government,College of Health,1990
"School of Health Information Management, AKTH, kano, P.M.B 3452, Kano, Kano State",Federal Government,College of Health,1992
"School of Health Information Management, ATBUTH, Bauchi",Federal Government,College of Health,2005
"School of Health Information Management, Nmandi Azikiwe University teaching hospital, NAUTH, Nnewi",Federal Government,College of Health,1996
"School of Health Information Management, OAUTH, P.M.B 5538, Ile-Ife",Federal Government,College of Health,1982
"School Of Health Information Management, University of Benin Teaching Hospital, Benin, P.M.B 1111, Benin City, Edo State",Federal Government,College of Health,2004
"School of Health Information Management, University of Calabar Teachimg Hospital, Calabar",Federal Government,College of Health,1993
"School of Health Information Management, UCH, P.M.B 5116, Ibadan",Federal Government,College of Health,1976
"School of Health Information Management, UDUTH, P.M.B 2370, Sokoto",Federal Government,College of Health,1992
"School of Health Information Management, University of Ilorin Teaching Hospital, Ilorin, Kwara State",Federal Government,College of Health,1996
"School of Health Information Management, UMTH, P.M.B 1414, Bama Road, Maiduguri",Federal Government,College of Health,1990
"School of Health Information Management, UPTH, Portharcourt, Rivers State",Federal Government,College of Health,2014
"School of Health Information Management, LUTH, Idi Araba, Lagos ",Federal Government,College of Health,2005
"School of Health Information Management, University of Uyo, P.M.B. 1136, UYO",Federal Government,College of Health,2005
"School of Health Technology, P.M.B 791, Akure, Ondo State",State Government,College of Health,1976
"School of Laundry and Dry Cleaning Technology. AKTH, Kano",Federal Government,College of Health,1927
"School of Nursing, Lagos State Univeristy Teaching Hospital (LUTH)",State Government,College of Health,1962
"School of Nursing and Midwifery, Abubakar Tafawa Balewa University Teaching Hospital, Bauchi",Federal Government,College of Health,1970
"School of Nursing Obafemi Awolowo University Teaching Hospital Complex, Ile-Ife",Federal Government,College of Health,1967
"School of Nursing University of Benin Teaching Hospital, Benin City",Federal Government,College of Health,1973
"School of Nursing Wesley Guild`s Hospital OAUTH, Ilesa",Federal Government,College of Health,1952
"School of Orthopedic Cast Technology, National Orthopedic Hospital, PMB 01294, Enugu",Federal Government,College of Health,1973
"School of Orthopedic Cast Technology, National Orthopedic Hospital, Dala, Kano",Federal Government,College of Health,2012
"School of Orthopedic Cast Technology, UITH, Ilorin, Kwara State",Federal Government,College of Health,1980
"School of Social Development, UPTH, Port Harcourt",Federal Government,College of Health,2018
"Shehu Idris College of Health Sciences and Technology. P.M.B 1050 Makarfi, Kaduna State",State Government,College of Health,1954
"Shehu Sule College of Nursing & Midwifery, Damaturu, Yobe State",State Government,College of Health,1993
Sokoto State College of Nursing,State Government,College of Health,1971
"Zamfara State College of Health Sciences and Technology, Tsafe",State Government,College of Health,2015
"Abuja School of Pension and Retirement PlanningAPS Campus, Heritage House, Sultan Abubakar Way, Zone 3P.O. Box 16558 WuseFCT Abuja,2241www.aps.edu.nginfo@aps.edu.ng",Private,Specialized Institute,2019
"Adecom College of Business Administration and Management Studies, Ibadan",Private,Specialized Institute,2019
"A.D Rufa'i College of Education, Legal & General Studies, Misau, Bauchi State",Private,Specialized Institute,1998
"All Nations Institute of Marine and Technology Oghara, Delta State",Private,Specialized Institute,2021
"Bala Abdullahi College of Administration, funtua, Kastina State",Private,Specialized Institute,1977
"Centre for Advanced Library and Information Management Enugu, Enugu State",Private,Specialized Institute,1973
"Charkin Maritime Academy, Port Harcourt, Rivers State",Private,Specialized Institute,2021
"College of Administration and Business Studies(CABSP), P.M.B 1001, Potiskum, Yobe State",Private,Specialized Institute,1956
"College of Arabic and Islamic Legal Studies, Ilorin, Kwara State",Private,Specialized Institute,1992
"College of Business and Management Studies, P.M.B  003. Konduga, Borno State",Private,Specialized Institute,1981
"College of Management and Business Studies, Abeokuta Ogun State",Private,Specialized Institute,2021
"Commonwealth College of Technology, Gboko, Benue State",Private,Specialized Institute,2021
"Ed-John Institute of Management and Technology Ikorodu, Lagos Sate",Private,Specialized Institute,2021
"Federal Cooperative College, Abuja Road, P.M.B 2425, Kaduna, Kaduna State",Private,Specialized Institute,1976
"Federal Cooperative College, P.M.B 5033, Eleyele, Ibadan, Oyo state",Private,Specialized Institute,1943
"Federal Cooperative College, Oji-River, P.M.B 017, Enugu State",Private,Specialized Institute,1976
"Federal School of Social Works Emene, Enugu",Private,Specialized Institute,1983
"Federal School of Statistics, P.O. Box 20753 U.I Post Office, Ibadan",Private,Specialized Institute,2007
"Federal School of Statistics, Manchok, P.M.b 2043, Kaduna State",Private,Specialized Institute,2007
"Federal School of Surveying, Ogbomosho Road, P.M.B 1024, Oyo, Oyo State",Private,Specialized Institute,1908
"Federal Training Centre, 17 Marian Road, Calabar, Cross River State",Private,Specialized Institute,1982
"Federal Training Centre, Emene, Industrail Layout P.M.B 01483, Enugu, Enugu State",Private,Specialized Institute,1977
"Federal Training Centre, Ikoyi Road, Obalande, P.M.B 12599, Marina-Lagos",Private,Specialized Institute,1957
"Federal Training Centre,Kulende Housing Estate, Ilorin, Kwara State",Private,Specialized Institute,1976
"Federal Training Centre, 70 Isa Kaita Road, P.M.B 2070, Kaduna",Private,Specialized Institute,1959
"Federal Training Centre, Custom Area, Bama Road, P.M.B 1594, Maiduguri, Borno state",Private,Specialized Institute,1978
Global Maritime Academy of NigeriaDelta State,Private,Specialized Institute,2022
"Harvarde College of Management and Business Studies, Abeokuta, Ogun State",Private,Specialized Institute,2021
"Institute of Administration, ABU, Zaria",Private,Specialized Institute,1947
"International Institute of Tourism, Yenagoa, Bayelsa State",Private,Specialized Institute,2008
"Jigawa State Institute of Information Technology, Kazaure",Private,Specialized Institute,2000
"Joemarine Institute of Nautical Studies and Research EffurunPlot 10, 39th Street DDPA Housing Estate Ugborikoko Effurun",Private,Specialized Institute,2023
"Lagos State Co-operative College, Agege, Lagos",Private,Specialized Institute,2018
"Lapo Institute for Microfinance and Management Studies Benin, Edo state",Private,Specialized Institute,2020
"Maritime Academy of Nigeria, P.M.B 1089, Oron, Akwa Ibom State",Private,Specialized Institute,1988
"Metallurgical Training Institute, KM 6/7 Onitsha-Owerri Road, P.M.B 1555, Onitsha",Private,Specialized Institute,1983
"Meteorological Institute of Science and Technology, Kastina, Kastina State",Private,Specialized Institute,2020
"Michael Imodu National Institute for Labour Studies, Ilorin, Kwara State",Private,Specialized Institute,1986
"Muson School of Music, Marina Onikan, Lagos",Private,Specialized Institute,2022
"National Institute for Cultural Orientation, Lagos Training School, Lagos",Private,Specialized Institute,1993
"National Institute for Legislative and Democratic Studies, Abuja",Private,Specialized Institute,2011
"National Institute for Sports, Surulere, Lagos",Private,Specialized Institute,1974
"National Water Resources Institute, Mando Road, P.M.B 2309,Kaduna",Private,Specialized Institute,1979
"Nigerian Army School of Finance and Administration, Apapa, P.M.B 1066, Lagos",Private,Specialized Institute,1978
"Nigerian Army School of Signals, H/Q Arakan Barrack, Apapa-Lagos",Private,Specialized Institute,1948
"Nigerian Institute of Journalism, Ikeja, Lateef Jakande House 8-14 Ijaiye Road Ogba, Lagos",Private,Specialized Institute,2003
"Nigerian Institute of Leather and Chemical Technology, P.M.B 1034, Samaru, Zaria, Kaduna State",Private,Specialized Institute,1964
"Nigerian Institute of Mining and Geoscience, Jos, Plateau State",Private,Specialized Institute,2001
"Nigerian Navy College of Engineering Sapele, Naval base, New Port, P.M.B 4002, Ogborode, Delta State",Private,Specialized Institute,1982
"Nigerian Navy College of Accounts and Finance Owerrinta, Naval Base, PMB 9001, Owerrinta, Abia State",Private,Specialized Institute,1958
"National Institute for Legislative and Democratic Studies, Maitama, Abuja",Private,Specialized Institute,2011
"OAK Business SchoolOPIC, River View Estate, Ogun State",Private,Specialized Institute,2021
"Pemgo College of Business and Management StudiesPemgo City, Akoyita-Loko, karu LGA, Nasarawa State",Private,Specialized Institute,2022
"Savannah Institute of Technology Abakaliki, Ebonyi State",Private,Specialized Institute,2008
"Wavecrest College of Catering and Hospitality Management, Lagos, P.o. Box 997, Surulere, Lagos State",Private,Specialized Institute,1999
"Adhama Innovation Enterprise Institute, 171 Mission Road, Bompai, Kano",Private,Specialized Institute,2018
"Agency for Mass Education(AME) Training Centres, OAU Quarters, Asokoro District , P.M.B 197, Garki Abuja",Private,Specialized Institute,2010
"Agency for Mass Education (AMF) Technology Centre, Asokoro,  Garki, FCT, VTC Kwali, Abuja, Campus",Private,Specialized Institute,2010
"Al-Muhibba Institute ICT and Entrepreneurship, 2 Bicados Street, Off Charles Adebayo Street, Kubawa, Abuja",Private,Specialized Institute,2022
"Ambassador College of Management. and Technology, 80c Igwuruta Road (Tank) Rumuokwurushi,Port-Harcourt ",Private,Specialized Institute,2009
"Armed Forces Electrical and Mechanical Engineering Mechatronics School Mogadishu Barracks Asokoro, Abuja",Private,Specialized Institute,2016
"Best Global Business and Financial School Kachia Road, Kaduna",Private,Specialized Institute,2015
"Bonny Vocational Centre, Bonny Island, Rivers State",Private,Specialized Institute,2013
"Buckingham Academy of Management. and Technology, Buckingham Estate old Awka Raod near Iyienu Mission Hospital Ogidi Anambra State",Private,Specialized Institute,2009
"Calvary Foundation Institute of Technology (CAFITECH) , Enugu, Enugu State",Private,Specialized Institute,2013
"Central Institute of Business and Technology, Kilometer 4, Benin-Abraka Road, Egba, Benin City",Private,Specialized Institute,2016
"Cherish Enterprise Institute, Batsari, Kastina State",Private,Specialized Institute,2013
"Complete Computers and Technology Institute, Benin City, Edo State",Private,Specialized Institute,2012
"Dalewares Institute of Technology, Lagos33 Imani Dauda St. Off Eric Moore Road, Surulere, Lagos State",Private,Specialized Institute,2008
"Damson Institute of Management and Technology, N0 5 Damson Street, Off Etsu Jetta Street, Phase 1, Jikwoyi, Along Nyanya Karshi Road, FCT Abuja",Private,Specialized Institute,2018
"DOF Institute of Catering and Hospitality, Dallan Plaza 43, Oritshe Street Off Obafemi Awolowo Way Box 800, Ikeja",Private,Specialized Institute,2009
"Environmental Sustainability Thinking and Action Centre (ESTAC), Institute of Construction & Engineering, Enugu 1, Mike Toney Avenue, Phase 6 Trans Ekulu, Enugu State",Private,Specialized Institute,2008
"Entrepreneurship Vocational Technology Ltd, Matan Fada, Kano State",Private,Specialized Institute,2010
"Exhale Salon and Beauty Institute, No 2A Kwato road/Ibrahim Zaki Road, Unguwan Rimi, Kaduna",Private,Specialized Institute,2010
"FCFM-Afaka Entrepreneurship Centre, Kaduna, Kaduna State",Private,Specialized Institute,2010
"First Mark Innovation School of Technology, Ado-Ekiti",Private,Specialized Institute,2012
"Flyingdove Institute of Information Technology, Abuja, FCT",Private,Specialized Institute,2010
"Gateway Industrial Petrogas Institute, Oni, Ogun State",Private,Specialized Institute,2013
"Global Maritime Academy, Oguni-Ololmu, Delta State",Private,Specialized Institute,2012
"Hajj Institute of NigeriaPlot 992, Zakari Maimalari Street Central Business District FCT- Abuja",Private,Specialized Institute,2022
"Hajia Sa'adatu and Umul-khairi Foundation,  Kano",Private,Specialized Institute,2015
"Hanzy Beauty International Institute Ltd, Kaduna",Private,Specialized Institute,2010
"Highland College of Technology & Further Studies, Ibadan, c/o Segun fatoki, 98 Iwo Road, Ibadan, Oyo state",Private,Specialized Institute,2008
"Homik Oil and Gas Facility Engineering School, homik Rehoboth Court by jesus Evang Power Mission, NTA.Choba Road ozouba, Port Harcourt, Rivers State",Private,Specialized Institute,2018
"Hotel & Tourism Business School, Ikeja, Lagos State",Private,Specialized Institute,2012
"IMFI-ICT Academy, 54, Nsikak Edouk Avenue, P.O Box 1723, Uyo, Akwa Ibom State",Private,Specialized Institute,2008
"Industrial Training Fund(ITF) Models Skills Training Centre, Adetokunbo Ademola Crescent, Maitama, Abuja",Private,Specialized Institute,2016
"Innovation Institute of Technology, No. 5. Yakubu Gowon Way, Kaduna",Private,Specialized Institute,2009
"Institute of Administration and Construction Engineering, Awgu. Enugu State",Private,Specialized Institute,2013
"Institute of Information and Computer Technology, Agwu, Enugu State",Private,Specialized Institute,2013
"International Chaplaincy Corps Network (ICCN) Institute of Security Technology and Management, Orlu, Imo State",Private,Specialized Institute,2013
"International Vocational Technical Enteprenuership Centre (IVTECH) Ajase-Ipo, Kwara State",Private,Specialized Institute,2019
"Izisco Obos Institute of Marine Studies & Technology, warri, Delta State",Private,Specialized Institute,2013
"JKN Training Centre, Oshodi, Lagos State",Private,Specialized Institute,2008
"Kazaure Innovation Institute, c/o Hussaini Adamu Federal Polytechnic Kazaure, Jigawa State",Private,Specialized Institute,2010
"Lagos City Computer College, 7 Bashiru Oweh Street, P.M.B 21200, Ikeja, Lagos State",Private,Specialized Institute,2008
"Landmark Academy of Hospitality Management, Port Harcourt",Private,Specialized Institute,2013
